month,production,sales,efficiency_percent
2019-05-01 00:00:00,369.0,195.0,52.85
2019-06-01 00:00:00,323.0,200.0,61.92
2019-04-01 00:00:00,464.0,311.0,67.03
2019-11-01 00:00:00,771.0,531.0,68.87
2019-07-01 00:00:00,360.0,256.0,71.11
2013-08-01 00:00:00,291.0,221.0,75.95
2020-01-01 00:00:00,675.0,514.0,76.15
2019-10-01 00:00:00,366.0,281.0,76.78
2019-12-01 00:00:00,691.0,537.0,77.71
2019-09-01 00:00:00,333.0,260.0,78.08
